office_name,office_address,office_type,zone_id
Dhaka PWD Zone,Dhaka,2,1
Rajshahi PWD Zone,Rajshahi,2,2
Khulna PWD Zone,Khulna,2,3
Chattogram PWD Zone,Chattogram,2,4
Sylhet PWD Zone,Sylhet,2,5
Barishal PWD Zone,Barishal,2,6
Rangpur PWD Zone,Rangpur,2,7
Mymensingh PWD Zone,Mymensingh,2,8
Gopalganj PWD Zone,Gopalganj,2,9
PWD Dhaka Metropolitan Zone,Dhaka,2,10
PWD E/M Zone,Dhaka,2,11
PWD E/M P&D Zone ,Dhaka,2,12
Additional Chief Engineer (Est. & Co),Dhaka,2,13
